ID,prompt,URL firefly,URL midjourney,URL Dall.e 2,URL Glide,URL Stable Diffusion 1.*,URL Stable Diffusion 2.1,URL Stable Diffusion XL,URL Dall.e 3,N categories,N aes,cat 1,cat 2,cat 3,Aesthetic 1,Aesthetic 2,Aesthetic 3,"Scale (SD, Glide)",Temp (glide),md ver,md chaos,md raw,md stylize,md ar,,sd 1.x model,ff style 1,ff style 2,ff style 3,ff style 4,ff color,ff lighting,ff composition,ff aspectRatio,ff modelVersion,ff prompt text,ff command,sdxl res index,sd2 resolution,sdxl W,sdxl H,sd2/sdxl steps,sd2/sdxl sampler,sd2/sdxl guider,sd2/sdxl guider vanilla scale,sdxl use refiner,sdxl refiner steps,sdxl refiner sampler,sdxl refiner guider,sdxl refiner vanilla scale,sdxl refiner finish denoising
0192,"A modern architectural structure, a close-up of mushrooms growing at its base, shot under soft outdoor light, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/192.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/192.png,2,0,<Modern architecture> ,"<Photos of mushrooms or fungi (in caves, forests, or other natural habitats, or grown, etc)> ",,,,,6.704805002,0.996,5.1,0,TRUE,18,2787:2000,#REF!,1-3,science_fiction,,,,cool_colors,,closeup,landscape,1,A+modern+architectural+structure%2C+a+close-up+of+mushrooms+growing+at+its+base%2C+shot+under+soft+outdoor+light%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+modern+architectural+structure%2C+a+close-up+of+mushrooms+growing+at+its+base%2C+shot+under+soft+outdoor+light%2C+cool+tones.&modelVersion=v1&aspectRatio=landscape&style=science_fiction&style=cool_colors&style=closeup,9,512,960,1088,33,DPMPP2MSampler,VanillaCFG,1.603011694,FALSE,,,,,
0193,"A photo of light play off a coloured glass, shot under soft indoor light, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/193.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/193.png,1,0,"<Light play photos with mirrors, water reflections, colored glass and others> ",,,,,,4.207265548,0.999,5,0,FALSE,100,1250:1769,#REF!,1-4,,,,,,dramatic_light,,portrait,1,A+photo+of+light+play+off+a+coloured+glass%2C+shot+under+soft+indoor+light%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+photo+of+light+play+off+a+coloured+glass%2C+shot+under+soft+indoor+light%2C+vibrant+colours.&modelVersion=v1&aspectRatio=portrait&style=dramatic_light,20,768,1344,704,47,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,38,LinearMultistepSampler,VanillaCFG,6.366072687,FALSE
0194,"A high-tech, high-fashion photo of a taekwondo competition, athletes in action, shot under bright indoor lighting, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/194.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/194.png,1,2,"<Sport photography of different sports in competitions, training sessions or friendly plays> ",,,<High-tech> ,<High-fashion> ,,5.130506674,0.999,5.2,0,TRUE,100,10000:10469,#REF!,1-1,divine,,,,,backlighting,,widescreen,2,A+high-tech%2C+high-fashion+photo+of+a+taekwondo+competition%2C+athletes+in+action%2C+shot+under+bright+indoor+lighting%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+high-tech%2C+high-fashion+photo+of+a+taekwondo+competition%2C+athletes+in+action%2C+shot+under+bright+indoor+lighting%2C+cool+tones.&modelVersion=v2&aspectRatio=widescreen&style=divine&style=backlighting,1,512,704,1408,41,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,41,EulerEDMSampler,IdentityGuider,,TRUE
0195,"A tiki-themed photo of a hot air balloon against a sunset, shot under soft evening light, warm tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/195.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/195.png,1,1,<Photos of hot air balloons or kites> ,,,<tiki> ,,,6.319241486,0.995,5,49,FALSE,56,2500:2653,#REF!,1-2,dark,origami,,,bw,,,widescreen,1,A+tiki-themed+photo+of+a+hot+air+balloon+against+a+sunset%2C+shot+under+soft+evening+light%2C+warm+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+tiki-themed+photo+of+a+hot+air+balloon+against+a+sunset%2C+shot+under+soft+evening+light%2C+warm+tones.&modelVersion=v1&aspectRatio=widescreen&style=dark&style=origami&style=bw,4,768,768,1280,37,DPMPP2SAncestralSampler,VanillaCFG,6.535887009,TRUE,44,EulerEDMSampler,VanillaCFG,6.507218196,FALSE
0196,"A tropical resort photo of a rock formation, shot under bright midday sun, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/196.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/196.png,1,1,<Rock formations> ,,,<Tropical resort> ,,,8.276877574,0.995,5,0,FALSE,100,1000:663,#REF!,1-2,iridescent,,,,,,,square,1,A+tropical+resort+photo+of+a+rock+formation%2C+shot+under+bright+midday+sun%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+tropical+resort+photo+of+a+rock+formation%2C+shot+under+bright+midday+sun%2C+vibrant+colours.&modelVersion=v1&aspectRatio=square&style=iridescent,14,768,1088,896,39,HeunEDMSampler,IdentityGuider,,TRUE,32,LinearMultistepSampler,IdentityGuider,,FALSE
0197,"A panoramic photo of a mountain range, frosted windows of a cabin in the foreground, shot under soft morning light, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/197.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/197.png,2,0,<Mountain ranges> ,<Photos of frosted windows> ,,,,,3.774664573,0.996,5.1,92,FALSE,100,1000:833,#REF!,1-1,iridescent,science_fiction,,,bw,,,landscape,1,A+panoramic+photo+of+a+mountain+range%2C+frosted+windows+of+a+cabin+in+the+foreground%2C+shot+under+soft+morning+light%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+panoramic+photo+of+a+mountain+range%2C+frosted+windows+of+a+cabin+in+the+foreground%2C+shot+under+soft+morning+light%2C+cool+tones.&modelVersion=v1&aspectRatio=landscape&style=iridescent&style=science_fiction&style=bw,8,512,896,1088,39,DPMPP2MSampler,VanillaCFG,3.86105848,TRUE,36,EulerAncestralSampler,VanillaCFG,6.082811257,TRUE
0198,"A wide-angle shot of the night sky, stars twinkling brightly, shot under low light, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/198.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/198.png,1,0,<Night sky> ,,,,,,6.644244363,0.999,5.1,0,FALSE,109,2000:3939,#REF!,1-1,maximalism,,,,pastel_colors,backlighting,,portrait,1,A+wide-angle+shot+of+the+night+sky%2C+stars+twinkling+brightly%2C+shot+under+low+light%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+wide-angle+shot+of+the+night+sky%2C+stars+twinkling+brightly%2C+shot+under+low+light%2C+cool+tones.&modelVersion=v1&aspectRatio=portrait&style=maximalism&style=pastel_colors&style=backlighting,15,512,1152,896,41,EulerAncestralSampler,VanillaCFG,4.61527891,TRUE,40,EulerAncestralSampler,VanillaCFG,6.6669403,TRUE
0199,"A vibrant, documentary-style noir photo of a majestic lion in the savannah, shot in black and white, high contrast.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/199.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/199.png,1,3,<Wildlife photography> ,,,<documentary> ,<Vibrant> ,<noir or film noir> ,5.296214521,1,5.1,20,FALSE,170,15037:10000,#REF!,1-2,origami,yarn,,,,,,landscape,1,A+vibrant%2C+documentary-style+noir+photo+of+a+majestic+lion+in+the+savannah%2C+shot+in+black+and+white%2C+high+contrast.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+vibrant%2C+documentary-style+noir+photo+of+a+majestic+lion+in+the+savannah%2C+shot+in+black+and+white%2C+high+contrast.&modelVersion=v1&aspectRatio=landscape&style=origami&style=yarn,18,768,1280,768,42,DPMPP2MSampler,IdentityGuider,,TRUE,38,EulerAncestralSampler,VanillaCFG,2.377621644,TRUE
0200,"An eccentric photo of a kite flying high above a waterfall, raindrops visible on surrounding leaves, shot in bright daylight, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/200.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/200.png,3,1,"<Photos of raindrops (on leaves, flowers, twigs, etc)> ",<Waterfalls> ,<Photos of hot air balloons or kites> ,<Eccentric> ,,,6.899997238,0.999,5.1,92,TRUE,145,5000:3433,#REF!,1-3,,,,,,,,widescreen,2,An+eccentric+photo+of+a+kite+flying+high+above+a+waterfall%2C+raindrops+visible+on+surrounding+leaves%2C+shot+in+bright+daylight%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=An+eccentric+photo+of+a+kite+flying+high+above+a+waterfall%2C+raindrops+visible+on+surrounding+leaves%2C+shot+in+bright+daylight%2C+vibrant+colours.&modelVersion=v2&aspectRatio=widescreen,18,768,1280,768,34,DPMPP2MSampler,VanillaCFG,6.392812456,TRUE,38,DPMPP2SAncestralSampler,VanillaCFG,3.046962324,TRUE
0201,"A surreal, ethereal pop-culture kitsch photo taken from a moving airplane over a busy airport, soft pastel hues.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/201.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/201.png,2,3,"<Photos taken from moving cars, trains, buses or airplanes> ",<Photos of airports or train stations> ,,<Surreal> ,<ethereal> ,<Pop-culture kitsch> ,7.270847973,0.996,5,88,FALSE,100,19871:10000,#REF!,1-2,made_of_metal,,,,,,macrophotography,square,1,A+surreal%2C+ethereal+pop-culture+kitsch+photo+taken+from+a+moving+airplane+over+a+busy+airport%2C+soft+pastel+hues.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+surreal%2C+ethereal+pop-culture+kitsch+photo+taken+from+a+moving+airplane+over+a+busy+airport%2C+soft+pastel+hues.&modelVersion=v1&aspectRatio=square&style=made_of_metal&style=macrophotography,25,768,1664,576,53,HeunEDMSampler,VanillaCFG,6.775086323,TRUE,46,EulerEDMSampler,VanillaCFG,7.324445198,TRUE
0202,"A nature-inspired photo of a lantern casting soft light on nearby plants, shot in low light, warm tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/202.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/202.png,1,1,<Photos of lanterns or candles> ,,,<Nature-inspired> ,,,8.586674602,0.997,5.2,41,FALSE,20,10000:12543,#REF!,1-3,,,,,cool_colors,,,landscape,2,A+nature-inspired+photo+of+a+lantern+casting+soft+light+on+nearby+plants%2C+shot+in+low+light%2C+warm+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+nature-inspired+photo+of+a+lantern+casting+soft+light+on+nearby+plants%2C+shot+in+low+light%2C+warm+tones.&modelVersion=v2&aspectRatio=landscape&style=cool_colors,13,768,1088,960,45,EulerEDMSampler,IdentityGuider,,TRUE,41,HeunEDMSampler,VanillaCFG,2.849341865,TRUE
0203,"A contemporary glam photo of footprints leading towards a waterfall, shot in bright daylight, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/203.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/203.png,2,1,"<Photos of footprints in sand, snow, etc> ",<Waterfalls> ,,<Contemporary glam> ,,,6.188699759,0.996,5.1,0,FALSE,100,1000:883,#REF!,1-4,paper,nostalgic,,,,,,square,1,A+contemporary+glam+photo+of+footprints+leading+towards+a+waterfall%2C+shot+in+bright+daylight%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+contemporary+glam+photo+of+footprints+leading+towards+a+waterfall%2C+shot+in+bright+daylight%2C+vibrant+colours.&modelVersion=v1&aspectRatio=square&style=paper&style=nostalgic,8,512,896,1088,37,HeunEDMSampler,VanillaCFG,2.569587711,TRUE,38,HeunEDMSampler,VanillaCFG,4.723158205,FALSE
0204,"A photojournalistic, documentary-style photo of a winter wonderland scene at an amusement park, wildlife visible in the background, shot under soft winter light, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/204.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/204.png,3,2,"<Winter wonderland scenes, snow or ice landscapes, Christmas street scenes> ",<Wildlife photography> ,<Photos of or in amusement parks> ,<photojournalism> ,<documentary> ,,3.525200296,0.998,5,50,FALSE,71,625:344,#REF!,1-3,,,,,,,,widescreen,2,A+photojournalistic%2C+documentary-style+photo+of+a+winter+wonderland+scene+at+an+amusement+park%2C+wildlife+visible+in+the+background%2C+shot+under+soft+winter+light%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+photojournalistic%2C+documentary-style+photo+of+a+winter+wonderland+scene+at+an+amusement+park%2C+wildlife+visible+in+the+background%2C+shot+under+soft+winter+light%2C+cool+tones.&modelVersion=v2&aspectRatio=widescreen,13,512,1088,960,34,LinearMultistepSampler,VanillaCFG,0.5,FALSE,,,,,
0205,"A breathtaking photo taken from a moving car, a majestic landscape racing by, shot in bright daylight, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/205.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/205.png,1,1,"<Photos taken from moving cars, trains, buses or airplanes> ",,,<Breathtaking or majestic> ,,,5.280709476,0.998,5.1,13,FALSE,105,10000:7657,#REF!,1-2,dark,iridescent,,,,,,portrait,2,A+breathtaking+photo+taken+from+a+moving+car%2C+a+majestic+landscape+racing+by%2C+shot+in+bright+daylight%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+breathtaking+photo+taken+from+a+moving+car%2C+a+majestic+landscape+racing+by%2C+shot+in+bright+daylight%2C+vibrant+colours.&modelVersion=v2&aspectRatio=portrait&style=dark&style=iridescent,8,768,896,1088,36,EulerEDMSampler,VanillaCFG,5.914120251,TRUE,43,DPMPP2MSampler,VanillaCFG,8.383806873,FALSE
0206,"A romantic photo of a couple exchanging vows at their wedding ceremony, shot in soft afternoon light, warm tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/206.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/206.png,1,1,<Wedding ceremony or reception photos> ,,,<Romantic> ,,,3.308812427,0.995,5,84,FALSE,100,18703:10000,#REF!,1-3,fabric,,,,,golden_hour,,widescreen,1,A+romantic+photo+of+a+couple+exchanging+vows+at+their+wedding+ceremony%2C+shot+in+soft+afternoon+light%2C+warm+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+romantic+photo+of+a+couple+exchanging+vows+at+their+wedding+ceremony%2C+shot+in+soft+afternoon+light%2C+warm+tones.&modelVersion=v1&aspectRatio=widescreen&style=fabric&style=golden_hour,6,512,832,1152,36,EulerEDMSampler,VanillaCFG,6.058209011,TRUE,38,EulerEDMSampler,IdentityGuider,,TRUE
0207,"A vibrant, rustic photo of a sunrise over a hiking trail, shot in soft morning light, warm tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/207.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/207.png,2,2,<Photos of hiking trails or footpaths> ,<Sunrises and sunsets> ,,<Vibrant> ,<Rustic> ,,6.703505563,0.997,5.1,36,TRUE,100,3173:2500,#REF!,1-1,kitschy,dark,maximalism,,,,,widescreen,1,A+vibrant%2C+rustic+photo+of+a+sunrise+over+a+hiking+trail%2C+shot+in+soft+morning+light%2C+warm+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+vibrant%2C+rustic+photo+of+a+sunrise+over+a+hiking+trail%2C+shot+in+soft+morning+light%2C+warm+tones.&modelVersion=v1&aspectRatio=widescreen&style=kitschy&style=dark&style=maximalism,4,768,768,1280,38,EulerEDMSampler,VanillaCFG,6.705095579,FALSE,,,,,
0208,"A chic, high-tech photo of a dance performance on a seascape, mountains in the distance, shot under bright stage light, cool tones.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/208.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/208.png,3,2,<Seascapes photography> ,<Dance performance photos> ,<Mountain ranges> ,<Chic> ,<High-tech> ,,6.471228319,1,5.2,55,FALSE,163,5000:3533,#REF!,1-4,,,,,cool_colors,studio_light,,square,2,A+chic%2C+high-tech+photo+of+a+dance+performance+on+a+seascape%2C+mountains+in+the+distance%2C+shot+under+bright+stage+light%2C+cool+tones.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+chic%2C+high-tech+photo+of+a+dance+performance+on+a+seascape%2C+mountains+in+the+distance%2C+shot+under+bright+stage+light%2C+cool+tones.&modelVersion=v2&aspectRatio=square&style=cool_colors&style=studio_light,5,512,832,1216,35,DPMPP2SAncestralSampler,IdentityGuider,,FALSE,,,,,
0209,"A contemporary beach photo of a surf shop front, shot in bright daylight, vibrant colours.",boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/firefly/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/midjourney/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle2/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/glide/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-1/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-2/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/stable-diffusion-xl/209.png,boucantrin.ovh.hw.ipol.im/static/quentin/newsynth/dalle3/209.png,1,1,<Photos of shop fronts> ,,,<Contemporary beach> ,,,7.174926669,0.997,5.1,11,FALSE,9,1250:871,#REF!,1-3,nostalgic,psychedelic,,,,,shot_from_below,portrait,2,A+contemporary+beach+photo+of+a+surf+shop+front%2C+shot+in+bright+daylight%2C+vibrant+colours.,https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=A+contemporary+beach+photo+of+a+surf+shop+front%2C+shot+in+bright+daylight%2C+vibrant+colours.&modelVersion=v2&aspectRatio=portrait&style=nostalgic&style=psychedelic&style=shot_from_below,1,512,704,1408,34,EulerAncestralSampler,VanillaCFG,4.119241864,TRUE,47,DPMPP2SAncestralSampler,VanillaCFG,6.71432202,FALSE
